RunAtUTC,BucketID,Query,Status,ReturnedItems,Message
2026-02-03T08:07:54.571058+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN CMOS"" inverter",OK,400.0,
2026-02-03T08:07:57.475052+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" CMOS inverter",OK,400.0,
2026-02-03T08:07:59.354967+00:00,GaN_CMOS_A_Circuit_Demos,"""complementary"" GaN inverter",OK,400.0,
2026-02-03T08:08:01.762227+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary inverter",OK,400.0,
2026-02-03T08:08:04.067044+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic circuits",OK,400.0,
2026-02-03T08:08:06.104615+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic",OK,400.0,
2026-02-03T08:08:07.792683+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""logic gate"" complementary",OK,400.0,
2026-02-03T08:08:09.842270+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""ring oscillator"" complementary",OK,400.0,
2026-02-03T08:08:11.756005+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""voltage transfer"" inverter",OK,400.0,
2026-02-03T08:08:13.809596+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""noise margin"" inverter",OK,400.0,
2026-02-03T08:08:16.282398+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" inverter propagation delay",OK,400.0,
2026-02-03T08:08:19.016956+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" short propagation delay",OK,400.0,
2026-02-03T08:08:21.483328+00:00,GaN_CMOS_A_Circuit_Demos,"""all-GaN"" CMOS inverter",OK,400.0,
2026-02-03T08:08:23.650904+00:00,GaN_CMOS_A_Circuit_Demos,"""monolithic"" GaN CMOS",OK,400.0,
2026-02-03T08:08:26.706694+00:00,GaN_CMOS_B_Enablers,"""GaN CMOS""",OK,400.0,
2026-02-03T08:08:28.857985+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN transistor",OK,400.0,
2026-02-03T08:08:31.502753+00:00,GaN_CMOS_B_Enablers,"""complementary"" GaN FET",OK,400.0,
2026-02-03T08:08:34.174258+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel transistor",OK,400.0,
2026-02-03T08:08:36.926838+00:00,GaN_CMOS_B_Enablers,"""GaN"" p-channel FET",OK,400.0,
2026-02-03T08:08:38.877799+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN",OK,400.0,
2026-02-03T08:08:41.090146+00:00,GaN_CMOS_B_Enablers,"""p-type"" GaN FET",OK,400.0,
2026-02-03T08:08:43.443982+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" transistor",OK,400.0,
2026-02-03T08:08:45.081775+00:00,GaN_CMOS_B_Enablers,"""p-GaN"" FET",OK,400.0,
2026-02-03T08:08:47.145660+00:00,GaN_CMOS_B_Enablers,"""p-channel"" GaN MOSFET",OK,400.0,
2026-02-03T08:08:48.892769+00:00,GaN_CMOS_B_Enablers,"""GaN"" n-channel MOSFET",OK,400.0,
2026-02-03T08:08:51.069808+00:00,GaN_CMOS_B_Enablers,"""GaN"" CMOS technology",OK,400.0,
2026-02-03T08:08:53.448764+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary technology",OK,400.0,
2026-02-03T08:08:55.371412+00:00,GaN_CMOS_B_Enablers,"""GaN"" complementary integration",OK,400.0,
2026-02-03T08:08:57.454701+00:00,GaN_CMOS_B_Enablers,"""GaN"" threshold voltage engineering complementary",OK,400.0,
2026-02-03T08:08:59.157649+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN p-channel",OK,400.0,
2026-02-03T08:09:01.919927+00:00,GaN_CMOS_B_Enablers,"""normally-off"" GaN complementary",OK,400.0,
2026-02-03T08:09:05.280117+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN p-channel",OK,400.0,
2026-02-03T08:09:07.145383+00:00,GaN_CMOS_B_Enablers,"""enhancement-mode"" GaN complementary",OK,400.0,
2026-02-03T08:09:08.815888+00:00,GaN_CMOS_B_Enablers,"""gate stack"" GaN p-channel",OK,400.0,
2026-02-03T08:09:10.579462+00:00,GaN_CMOS_B_Enablers,"""Mg"" doped p-GaN transistor",OK,400.0,
2026-02-03T08:09:12.157207+00:00,GaN_CMOS_B_Enablers,"""polarization"" GaN p-channel transistor",OK,400.0,
2026-02-03T08:09:13.738290+00:00,GaN_CMOS_B_Enablers,"""polarization"" enhanced complementary GaN",OK,400.0,
2026-02-03T08:09:15.760626+00:00,VENUE_SWEEP_IEDM,"""GaN CMOS""",OK,400.0,
2026-02-03T08:09:19.020587+00:00,VENUE_SWEEP_IEDM,"""GaN complementary logic""",OK,400.0,
2026-02-03T08:09:21.323901+00:00,VENUE_SWEEP_IEDM,"""complementary GaN""",OK,400.0,
2026-02-03T08:09:23.767277+00:00,VENUE_SWEEP_VLSI,"""GaN CMOS""",OK,400.0,
2026-02-03T08:09:25.557878+00:00,VENUE_SWEEP_VLSI,"""GaN complementary logic""",OK,400.0,
2026-02-03T08:09:27.124869+00:00,VENUE_SWEEP_VLSI,"""complementary GaN""",OK,400.0,
2026-02-03T08:09:29.230267+00:00,VENUE_SWEEP_TED,"""GaN CMOS""",OK,400.0,
2026-02-03T08:09:32.431700+00:00,VENUE_SWEEP_TED,"""GaN complementary logic""",OK,400.0,
2026-02-03T08:09:34.702212+00:00,VENUE_SWEEP_TED,"""complementary GaN""",OK,400.0,
2026-02-03T08:09:36.504692+00:00,VENUE_SWEEP_EDL,"""GaN CMOS""",OK,400.0,
2026-02-03T08:09:38.159260+00:00,VENUE_SWEEP_EDL,"""GaN complementary logic""",OK,400.0,
2026-02-03T08:09:39.959721+00:00,VENUE_SWEEP_EDL,"""complementary GaN""",OK,400.0,
2026-02-04T04:11:21.167960+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN CMOS"" inverter",OK,400.0,
2026-02-04T04:11:22.908632+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" CMOS inverter",OK,400.0,
2026-02-04T04:11:25.117399+00:00,GaN_CMOS_A_Circuit_Demos,"""complementary"" GaN inverter",OK,400.0,
2026-02-04T04:11:28.081255+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary inverter",OK,400.0,
2026-02-04T04:11:30.289086+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic circuits",OK,400.0,
2026-02-04T04:11:33.288935+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" complementary logic",OK,400.0,
2026-02-04T04:11:35.795194+00:00,GaN_CMOS_A_Circuit_Demos,"""GaN"" ""logic gate"" complementary",OK,400.0,
